,visit_id,name,num_nodes,num_edges,nodes_div_by_edges,edges_div_by_nodes,in_degree,out_degree,in_out_degree,ancestors,descendants,closeness_centrality,average_degree_connectivity,eccentricity,is_parent_script,is_ancestor_script,ascendant_has_ad_keyword,is_eval_or_function,descendant_of_eval_or_function,ascendant_script_has_eval_or_function,ascendant_script_has_fp_keyword,ascendant_script_length,num_get_storage,num_set_storage,num_get_cookie,num_set_cookie,num_script_predecessors,num_script_successors,num_requests_sent,num_requests_received,num_redirects_sent,num_redirects_rec,max_depth_redirect,indirect_in_degree,indirect_out_degree,indirect_ancestors,indirect_descendants,indirect_closeness_centrality,indirect_average_degree_connectivity,indirect_eccentricity,indirect_mean_in_weights,indirect_min_in_weights,indirect_max_in_weights,indirect_mean_out_weights,indirect_min_out_weights,indirect_max_out_weights,num_set_get_src,num_set_mod_src,num_set_url_src,num_get_url_src,num_set_get_dst,num_set_mod_dst,num_set_url_dst,num_get_url_dst,indirect_all_in_degree,indirect_all_out_degree,indirect_all_ancestors,indirect_all_descendants,indirect_all_closeness_centrality,indirect_all_average_degree_connectivity,indirect_all_eccentricity,content_policy_type,url_length,is_subdomain,is_valid_qs,is_third_party,base_domain_in_query,semicolon_in_query,screen_size_present,ad_size_present,ad_size_in_qs_present,keyword_raw_present,keyword_char_present
0,3063639692373196,https://match.adsrvr.org/track/cmb/generic?ttd_pid=aam&gdpr=0&gdpr_consent=&domain=www.synopsys.com&ttd_tpi=1,312,628,0.4968152866242038,2.0128205128205128,2,6,8,3,9,0.0072347266881028945,1.40625,-1,1,1,1,0,0,1,1,415287,6,6,6,6,1,0,2,3,0,2,2,8,8,29,5,0.11531605649252707,4.642857142857143,3,1.5,1.0,2.0,2.0,2.0,2.0,6,0,0,0,5,4,3,0,8,8,53,42,0.061028069870513596,7.8,-1,image,109,0,1,1,0,0,0,0,0,1,1
0,3063639692373196,https://dpm.demdex.net/ibs:dpid=903&dpuuid=eacb3935-9ae0-4535-b38b-4f8c01e9e316,312,628,0.4968152866242038,2.0128205128205128,2,3,5,4,3,0.00857449088960343,20.46086956521739,-1,1,1,1,0,0,1,1,415287,6,4,6,4,1,0,0,2,0,0,0,11,11,36,13,0.1461764042409204,8.210526315789474,3,1.4666666666666666,1.0,2.0,1.75,1.0,2.0,8,0,0,0,9,2,2,2,12,12,53,42,0.08211049400760011,9.130434782608695,-1,image,79,0,1,1,0,0,0,0,0,0,0
0,3063639692373196,https://c.bing.com/c.gif?uid=14578107721755716464288238188251179236&Red3=MSAdobe_pd&gdpr=0&gdpr_consent=,312,628,0.4968152866242038,2.0128205128205128,2,7,9,2,10,0.006430868167202572,0.7777777777777778,-1,1,1,1,0,0,1,1,415287,0,8,0,8,1,0,2,3,0,2,1,3,3,36,13,0.1258741258741259,7.333333333333333,3,1.4,1.0,2.0,1.0,1.0,1.0,0,3,2,0,0,3,2,0,4,4,53,42,0.06592813387471542,5.083333333333333,-1,image,104,0,1,1,0,0,0,0,0,1,0
0,3063639692373196,https://dpm.demdex.net/ibs:dpid=1957&dpuuid=15105715B2F4651C007844F8B3DC6443,312,628,0.4968152866242038,2.0128205128205128,2,3,5,3,3,0.0072347266881028945,20.46086956521739,-1,1,1,1,0,0,1,1,415287,6,4,6,4,1,0,0,2,0,0,0,11,11,36,13,0.1461764042409204,8.210526315789474,3,1.5,1.0,2.0,1.75,1.0,2.0,8,0,0,0,9,2,3,0,11,11,53,42,0.07786339948996562,9.545454545454545,-1,image,76,0,1,1,0,0,0,0,0,0,0
0,3063639692373196,https://dpm.demdex.net/ibs:dpid=903&dpuuid=cf5ca3a0-24df-411b-94c8-cfd4ea67ae36,312,628,0.4968152866242038,2.0128205128205128,1,3,4,4,3,0.006430868167202572,2.7708333333333335,-1,0,1,1,0,0,1,1,415287,3,2,3,2,0,0,0,1,0,0,0,12,12,36,13,0.14857273873667318,7.8,3,1.4666666666666666,1.0,2.0,1.75,1.0,2.0,8,0,0,0,9,2,3,1,13,13,53,42,0.08520900321543408,8.75,-1,image,79,0,1,1,0,0,0,0,0,0,0
0,3063639692373196,https://dpm.demdex.net/ibs:dpid=1957&dpuuid=1CDC9D8467EF62582E648E6966C76365,312,628,0.4968152866242038,2.0128205128205128,1,3,4,3,3,0.005787781350482316,2.7708333333333335,-1,0,1,1,0,0,1,1,415287,3,2,3,2,0,0,0,1,0,0,0,11,11,36,13,0.1461764042409204,8.210526315789474,3,1.5,1.0,2.0,1.75,1.0,2.0,8,0,0,0,9,2,3,0,11,11,53,42,0.07786339948996562,9.545454545454545,-1,image,76,0,1,1,0,0,0,0,0,0,0
0,3063639692373196,https://ups.analytics.yahoo.com/ups/55953/sync?uid=cf5ca3a0-24df-411b-94c8-cfd4ea67ae36&_origin=1&redir=true&gdpr=0&gdpr_consent=&redir=true,312,628,0.4968152866242038,2.0128205128205128,1,2,3,1,7,0.003215434083601286,4.090909090909091,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,3,3,26,2,0.09647495361781076,3.2,3,1.0,1.0,1.0,1.0,1.0,1.0,2,2,0,0,0,0,3,0,4,4,33,53,0.050022967386311436,3.4285714285714284,-1,sub_frame,140,0,1,1,0,0,0,0,0,0,0
0,3063639692373196,https://ups.analytics.yahoo.com/ups/55953/sync?uid=cf5ca3a0-24df-411b-94c8-cfd4ea67ae36&_origin=1&redir=true&gdpr=0&gdpr_consent=&redir=true&verify=true,312,628,0.4968152866242038,2.0128205128205128,1,3,4,2,6,0.004287245444801715,2.7708333333333335,-1,0,0,0,0,0,0,0,0,1,2,1,2,0,0,1,1,1,1,2,6,6,28,1,0.10750034279446045,2.0,3,1.0,1.0,1.0,1.3333333333333333,1.0,2.0,2,1,0,0,3,1,3,0,6,6,33,53,0.05149423113296765,2.6,-1,sub_frame,152,0,1,1,0,0,0,0,0,0,0
0,3063639692373196,https://ups.analytics.yahoo.com/ups/58824/sync?_origin=0&dpid=55953&ovsid=cf5ca3a0-24df-411b-94c8-cfd4ea67ae36&gdpr=0&redir=true,312,628,0.4968152866242038,2.0128205128205128,1,3,4,3,5,0.00482315112540193,2.7708333333333335,-1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,1,1,0,1,3,6,6,28,1,0.10750034279446045,2.0,3,1.25,1.0,2.0,1.5,1.0,2.0,2,0,0,0,3,2,3,0,6,6,33,53,0.05149423113296765,3.6363636363636362,-1,sub_frame,128,0,1,1,0,0,0,0,0,0,0
0,3063639692373196,https://hb.yahoo.net/cksync?cs=63&axid_e=eS0xQ1lDWnZaRTJ1SEN1aTFkd0hRM2VDZkl1ckNleWtYVX5B&gdpr=0&ovsid=cf5ca3a0-24df-411b-94c8-cfd4ea67ae36&dpid=55953,312,628,0.4968152866242038,2.0128205128205128,1,2,3,4,2,0.005144694533762058,4.090909090909091,-1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,3,3,25,24,0.09105477855477856,6.545454545454546,3,1.0,1.0,1.0,1.0,1.0,1.0,0,0,8,0,0,0,3,0,4,4,33,53,0.050022967386311436,7.0,-1,sub_frame,150,0,1,1,0,0,0,0,0,0,0
